Processor;image.ID;sheet name;sheet and slide number;Title;Title.object;Title.workType;Title.workType;Title.workType;Title.imageView;Location.type;Location.country;Location.state-province;Location.city-county;Location.repository;Location.ARTSTOR;creator.Name;creator.Nationality;creator.Dates;creator.Role;creator.NameSource;creator.Display;creator.Name;creator.Nationality;creator.Dates;creator.Role;creator.NameSource;creator.Display;creator.Name;creator.Nationality;creator.Dates;creator.Role;creator.NameSource;creator.Display;Date.earliest;Date.latest;Date.display;Date.stylePeriod;Date.stylePeriod.source;Date.stylePeriod;Date.stylePeriod.source;#culturalContext;#culturalContext.source;keyword;Subject.source;keyword;Subject.source;keyword;Subject.source;Source.photographer;source.Contributor;Source.institutionalContributor;Source.date;Source.Displaydate;dateScanned;dateProcessed;Rights
Hillel;1000011;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Schönbrunn;;Designed Landscapes;Residential Buildings;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000012;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Schönbrunn;;Designed Landscapes;Residential Buildings;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000013;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Schönbrunn;;Designed Landscapes;Monuments and memorials;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000014;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Schönbrunn;;Designed Landscapes;Residential Buildings;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000015;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Schönbrunn;;Designed Landscapes;;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000016;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Schönbrunn;;Designed Landscapes;;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000017;Week 10-4 (Germany Vienna Schonbrunn and Veitschocheim);;Schönbrunn;;Designed Landscapes;;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000018;Week 10-4 (Germany Vienna Schonbrunn and Veitschocheim);;Schönbrunn;;Designed Landscapes;;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000019;Week 10-4 (Germany Vienna Schonbrunn and Veitschocheim);;Schönbrunn;;Designed Landscapes;;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000020;Week 10-4 (Germany Vienna Schonbrunn and Veitschocheim);;Schönbrunn;;Designed Landscapes;;;detail view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000021;Week 10-4 (Germany Vienna Schonbrunn and Veitschocheim);;Schönbrunn;;Designed Landscapes;;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000022;Week 10-4 (Germany Vienna Schonbrunn and Veitschocheim);;Schönbrunn;;Designed Landscapes;Monuments and memorials;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000023;Week 10-4 (Germany Vienna Schonbrunn and Veitschocheim);;Schönbrunn;;Designed Landscapes;;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000024;Week 10-4 (Germany Vienna Schonbrunn and Veitschocheim);;Schönbrunn;;Designed Landscapes;;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1200000;Week 8-4;;Ministry of Education;Garden;Designed Landscapes;Public/Civic/Healthcare;;general view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1937;1937;from 1937;Modernist;aat;;;Brazilian;ulan;roof gardens;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
Hillel;1200001;Week 8-4;;Ministry of Education;Garden;Designed Landscapes;Public/Civic/Healthcare;;detail view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1937;1937;from 1937;Modernist;aat;;;Brazilian;ulan;roof gardens;aat;sculptures;aat;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
